epoch,train_loss,val_loss,train_acc,test_acc
193,0.0014022775864883034,0.23687678571790458,99.994,94.69
194,0.0017307028871664093,0.23149463647976518,99.98,94.71
195,0.001353457767755011,0.23082697615027428,99.99,94.72
196,0.0012999410416720712,0.2335358416289091,99.996,94.64
197,0.001514701268245952,0.23329519756138326,99.988,94.67
198,0.001228147855466482,0.23344780914485455,99.998,94.62
199,0.0012698506930401748,0.23210680935531855,99.992,94.68
200,0.0013793706535519508,0.2328414424881339,99.988,94.65
201,0.0012188149845975516,0.23144951645284892,99.998,94.68
202,0.0013421060042315856,0.23626049514859915,99.988,94.64
203,0.0011639759437862278,0.23238755524158478,99.998,94.71
204,0.0014391255074018693,0.23174069777131082,99.98,94.68
205,0.0011342383187298145,0.23557921327650547,99.996,94.61
206,0.001262064465298377,0.23330513644963502,99.994,94.7
207,0.0011940389398790304,0.23225112132728098,99.994,94.68
208,0.0011756264207074228,0.231491977609694,99.99,94.72
209,0.0011205766604224202,0.2322983879968524,99.998,94.69
210,0.0011384902697856255,0.23237423274666072,99.996,94.74
211,0.001102144324445211,0.23348404951393603,99.996,94.78
212,0.0010274697672468527,0.2311004363000393,99.996,94.81
213,0.0011829087040875384,0.23059577118605376,99.994,94.85
214,0.0011089055350778595,0.2329511499404907,99.994,94.78
215,0.0011087367754748754,0.22935426170006395,99.992,94.83
216,0.001091467916256572,0.23120210401713848,99.992,94.78
217,0.0011831442821402308,0.23175597045570612,99.99,94.8
218,0.001153262672283987,0.23513835851103068,99.992,94.82
219,0.001086742318149887,0.2338750586286187,99.996,94.81
220,0.0011204690993269263,0.2327559369802475,99.992,94.83
221,0.0011534817244225155,0.2339324376732111,99.992,94.67
222,0.0011357183545216611,0.23393440576270222,99.994,94.78
223,0.0009561741325344481,0.23321289513260127,99.996,94.81
224,0.0010481731931116524,0.23455073803663254,99.996,94.65
225,0.0010222203235643323,0.2318383916094899,99.996,94.77
226,0.0011257057603614768,0.2339254093915224,99.992,94.76
227,0.0009492721515865473,0.2350461007654667,99.998,94.75
228,0.001082242509309093,0.23229057926684618,99.988,94.77
229,0.0009362075781046837,0.2328117673099041,100.0,94.73
